School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,Graduation rate ,Coach YOE,Stadium,Stadium Seats,Win Rate
University of Texas Austin ,Big 12,Tom Herman,"$5,500,000 ","$5,500,000 ","$725,000 ","$75,000 ",$0 ,"$15,416,667 ",73,6,DKR Texas Memorial Stadium,100119,71
"Texas A&M University, College Station",Southeastern Conference,Jimbo Fisher,"$7,500,000 ","$7,500,000 ","$1,350,000 ",--,$0 ,"$68,125,000 ",76,13,Kyle Field,102733,74
Texas Christian University,Big 12,Gary Patterson,"$4,840,717 ","$4,840,717 ",--,--,$0 ,--,74,22,Amon G. Carter Stadium,50307,70
Texas State University,Sun Belt,Everett Withers,"$700,000 ","$700,000 ","$70,833 ",$0 ,$0 ,"$773,958 ",69,4,Bobcat Stadium,30008,29
Texas Tech University ,Big 12,Kliff Kingsbury,"$3,703,975 ","$3,703,975 ","$1,500,000 ","$25,000 ",$0 ,"$4,231,250 ",71,6,Jones AT&T Stadium,60454,47
University of Texas at El Paso,C-USA,Dana Dimel,"$700,000 ","$700,000 ","$741,665 ",--,$0 ,"$2,991,667 ",82,11,Sun Bowl,51500,37
University of Texas at San Antonio,C-USA,Frank Wilson,"$1,100,000 ","$1,100,000 ","$185,000 ","$17,500 ",$0 ,"$3,562,500 ",87,1,Alamodome,72000,17
University of Toledo,Mid-American Conference,Jason Candle,"$1,125,000 ","$1,125,000 ","$585,000 ","$210,000 ",$0 ,"$3,558,333 ",93,8,Glass Bowl Stadium,26248,63
Troy University,Sun Belt,Neal Brown,"$810,000 ","$810,000 ","$490,000 ","$100,000 ",$0 ,"$2,911,667 ",75,8,Veterans Memorial Stadium,30470,58
Tulane University ,AAC,Willie Fritz,"$1,629,000 ","$1,629,000 ",--,--,$0 ,--,88,9,Yulman Stadium,30000,54
The University of Tulsa,AAC,Philip Montgomery,"$1,518,177 ","$1,518,177 ",--,--,$0 ,--,71,8,Skelly Field at H.A. Chapman Stadium,30000,45
"University of California, Los Angeles",Pac-12,Chip Kelly,"$3,300,000 ","$3,300,000 ","$1,085,000 ",--,$0 ,"$9,000,000 ",66,9,Rose Bowl Stadium,90988,67
University of Utah,Pac-12,Kyle Whittingham,"$3,787,917 ","$3,787,917 ","$935,000 ","$279,167 ",$0 ,"$9,250,000 ",90,19,Rice-Eccles Stadium,51444,68
Utah State University ,Mt. West,Matt Wells,"$900,000 ","$900,000 ","$765,000 ","$65,000 ",$0 ,"$2,122,917 ",85,9,Merlin Olsen Field,25513,53
Vanderbilt University,Southeastern Conference,Derek Mason,"$2,812,523 ","$2,812,523 ",--,--,$0 ,--,96,7,FirstBank Stadium,39790,33
University of Virginia,ACC,Bronco Mendenhall,"$3,550,000 ","$3,550,000 ","$2,165,000 ","$75,000 ",$0 ,"$18,193,750 ",85,17,Scott Stadium,61500,63
Virginia Tech,ACC,Justin Fuente,"$4,000,000 ","$4,000,000 ","$435,000 ","$75,000 ",$0 ,"$15,000,000 ",77,10,Lane Stadium,66233,56
Wake Forest University,ACC,Dave Clawson,"$1,831,580 ","$1,831,580 ",--,--,$0 ,--,93,14,Truist Field,31500,52
University of Washington,Pac-12,Chris Petersen,"$4,375,000 ","$4,377,500 ","$1,050,000 ","$300,000 ",$0 ,"$26,354,166 ",87,14,Husky Stadium,70083,80
Washington State University,Pac-12,Mike Leach,"$3,500,000 ","$3,500,000 ","$725,000 ","$75,000 ",$0 ,"$4,900,000 ",86,21,Martin Stadium,32952,60
